,Unnamed: 0,Name,Title,Location,Salary,Rating,Size,Founded,Type,Industry,Sector,Revenue,Dscrb,Seniority,Python,R,SQL,Spark,Aws,Excel,PowerBI,Tableau
10,34,National Security Agency,Data Scietist, MO,101589.0,3.5,NoSize,NoFounded,Government,Federal Agencies,Government,NoRevenue,"NSA Overview: The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a strong offense and a steadfast defense. The offense collects, processes, and disseminates intelligence information derived from foreign signals for intelligence and counterintelligence purposes. The defense prevents adversaries from gaining access to sensitive classified national security information. At NSA, Data Science is a fundamental discipline and is present in nearly every aspect of the mission. NSA is the nation's leader in providing foreign signals intelligence while also protecting U.S. government information systems, forging the frontier of communications, and data analysis. We serve the American people by applying technical skills to meaningful work, keeping our friends and families safe for generations to come. You will make a lasting impact serving your country as a Data Scientist at the National Security Agency, using your curiosity and technical expertise to analyze large data sets to inform decision-making against foreign threats. Description of Position: Data science at NSA is a multi-disciplinary field that uses elements of mathematics, statistics, computer science, and application-specific knowledge to gather, make, and communicate principled conclusions from data. Data science is present in every aspect of the mission. NSA Data Scientists tackle challenging real-world problems leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. We are looking for critical thinkers, problem solvers, and motivated individuals who are enthusiastic about data and believe that answers to hard questions lie in the yet-to-be-told story of diverse, complicated data sets. You will employ your mathematical science, computer science, and quantitative analysis skills to develop solutions to complex data problems and take full advantage of NSA's capabilities to tackle the highest priority foreign intelligence and cybersecurity challenges. Direct hire data scientists are hired into positions directly supporting a technical mission office. You will have the opportunity to collaborate with NSA's experts in the field of data science and other computational disciplines while tackling NSA's highest priority mission challenges. You will have opportunities to attend technical conferences with experts internally and from industry and academia as well as discuss and share NSA's challenges and successes at technical roundtables. As a Data Scientist at NSA, your responsibilities may include: - Exploratory data analysis and exploratory model-fitting to reveal data features of interest - Machine-learned predictive modeling - Construct usable data sets from multiple sources to meet customer needs - Identifying and analyzing anomalous data (including metadata) - Developing conceptual design and models to address mission requirements - Developing qualitative and quantitative methods for characterizing datasets in various states. - Performing analytic modeling, scripting, and/or programming - Working collaboratively and iteratively throughout the data-science lifecycle - Designing and developing analytics and techniques for analysis - Analyzing data using mathematical and statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations",none,0,1,0,0,0,0,0,0
11,36,Indeed,Data Scietist,Remote,115000.0,4.4,10000+,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),"Your Job
As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and model job search related data. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally.

We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. The ideal candidate understands human behavior and knows what to look for in the data.

Responsibilities
We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",none,0,1,0,0,0,0,0,0
12,42,Liberty Mutual Insurance,Data Scietist, NV,156800.0,3.9,10000+,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness, inclusion, trust and respect. Here, you'll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession.
Liberty Mutual has proudly been recognized as a “Great Place to Work” by Great Place to Work® US for the past several years. We were also selected as one of the “100 Best Places to Work in IT” on IDG's Insider Pro and Computerworld's 2020 list. For many years running, we have been named by Forbes as one of America's Best Employers for Women and one of America's Best Employers for New Graduates—as well as one of America's Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion
We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits

18",1,0,1,0,0,0,0,0,0
13,47,Northrop Grumman,Data Engineer, CA,89200.0,4.0,10000+,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Requisition ID: R10020307
Category: Engineering
Location: Chandler, United States of America
Citizenship Required: United States Citizenship
Clearance Type: None
Telecommute: No- Teleworking not available for this position
Shift: 1st Shift (United States Of America)
Travel Required: No
Positions Available: 1

At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history.",none,0,1,0,0,0,0,0,0
14,48,Indeed,Data Scietist,Remote,144000.0,4.4,10000+,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),"Your Job
As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and model job search related data. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally.

We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. The ideal candidate understands human behavior and knows what to look for in the data.

Responsibilities
We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",none,0,1,0,0,0,0,0,0
15,51,Liberty Mutual Insurance,Data Analyst,Remote,125500.0,3.9,10000+,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness, inclusion, trust and respect. Here, you'll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession.
Liberty Mutual has proudly been recognized as a “Great Place to Work” by Great Place to Work® US for the past several years. We were also selected as one of the “100 Best Places to Work in IT” on IDG's Insider Pro and Computerworld's 2020 list. For many years running, we have been named by Forbes as one of America's Best Employers for Women and one of America's Best Employers for New Graduates—as well as one of America's Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion
We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits

Bachelor's Degree
17",none,0,1,0,0,0,0,0,0
16,55,Market Force Information,Data Scietist,Remote,104000.0,3.7,750.5,NoFounded,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),"Market Force Information is a customer experience consulting firm. We help our clients in building a robust customer experience measurement program, report on these measures and analyze across data-streams to drive operations and marketing efforts at the client organization. The clients we work with include restaurants, retail chains, petro-convenience, healthcare, and financial services.
Position Summary:
In this role, you will make a significant contribution by helping Market Force Information’s clients successfully execute their customer experience transformation through our products, services, Big Data/SaaS analytics, and thought leadership.
Essential Duties and Responsibilities:",none,0,1,0,0,0,0,0,0
17,62,General Dynamics,Data Scietist, KS,158611.0,3.8,10000+,1952,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Type of Requisition:
Pipeline
Clearance Level Must Currently Possess:
Secret
Clearance Level Must Be Able to Obtain:
Secret
Suitability:
No Suitability Required
None
Data Science
The likely salary range for this position is $118,810 - $198,411, this is not, however, a guarantee of compensation or salary; rather, salary will be set based on experience, geographic location and possibly contractual requirements and could fall outside of this range.
40
10-25%
Telecommuting 100%
USA DC Washington
Any Location / Remote
Our benefits package for all US-based employees includes a variety of medical plan options, some with Health Savings Accounts, dental plan options, a vision plan, and a 401(k) plan offering the ability to contribute both pre and post-tax dollars up to the IRS annual limits and receive a company match. To encourage work/life balance, GDIT offers employees full flex work weeks where possible and a variety of paid time off plans, including vacation, sick and personal time, holidays, paid parental, military, bereavement and jury duty leave. To ensure our employees are able to protect their income, other offerings such as short and long-term disability benefits, life, accidental death and dismemberment, personal accident, critical illness and business travel and accident insurance are provided or available. We regularly review our Total Rewards package to ensure our offerings are competitive and reflect what our employees have told us they value most.",1,0,1,0,0,0,0,0,0
18,63,Indeed,Data Scietist,Remote,115000.0,4.4,10000+,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),"Your Job
As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and model job search related data. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally.

We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. The ideal candidate understands human behavior and knows what to look for in the data.

Responsibilities
We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",none,0,1,0,0,0,0,0,0
19,67,Indeed,Data Scietist,Remote,144000.0,4.4,10000+,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),"Your Job
As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and model job search related data. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally.

We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. The ideal candidate understands human behavior and knows what to look for in the data.

Responsibilities
We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",none,0,1,0,0,0,0,0,0
20,68,Liberty Mutual Insurance,Data Analyst, CO,125500.0,3.9,10000+,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness, inclusion, trust and respect. Here, you'll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession.
Liberty Mutual has proudly been recognized as a “Great Place to Work” by Great Place to Work® US for the past several years. We were also selected as one of the “100 Best Places to Work in IT” on IDG's Insider Pro and Computerworld's 2020 list. For many years running, we have been named by Forbes as one of America's Best Employers for Women and one of America's Best Employers for New Graduates—as well as one of America's Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion
We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits

Bachelor's Degree
17",none,0,1,0,0,0,0,0,0
21,69,Ricoh USA,Data Scietist,Remote,115000.0,3.2,10000+,1936,Company - Public,IT Services,Information Technology,$10+ billion (USD),"POSITION PROFILE

The Data Scientist will lead and expand the implementation of data science and machine learning models inside Ricoh's Marketing department. The Data Scientist's primary responsibility will be to leverage existing internal and external data to identify trends and relationships that result in actionable recommendations to improve Marketing performance and drive revenue. The Data Scientist is able to communicate findings to business partners and has strong consulting, communication, visualization, and storytelling skills. The Data Scientist will work with the Customer Reporting and Digital Analytics teams to develop and pilot predictive models for Sales.
JOB DUTIES AND RESPONSIBILITIES",none,0,1,0,0,0,0,0,0
22,75,Northrop Grumman,Data Engineer, MD,89200.0,4.0,10000+,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Requisition ID: R10020307
Category: Engineering
Location: Chandler, United States of America
Citizenship Required: United States Citizenship
Clearance Type: None
Telecommute: No- Teleworking not available for this position
Shift: 1st Shift (United States Of America)
Travel Required: No
Positions Available: 1

At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We look for people who have bold new ideas, courage and a pioneering spirit to join forces to invent the future, and have fun along the way. Our culture thrives on intellectual curiosity, cognitive diversity and bringing your whole self to work — and we have an insatiable drive to do what others think is impossible. Our employees are not only part of history, they're making history.",none,0,1,0,0,0,0,0,0
23,76,Indeed,Data Scietist,Remote,201500.0,4.4,10000+,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),"Your Job
The Experimentation Platform team builds and maintains Indeed's A/B Experiments platform with tools supporting the implementation, planning, execution, and conclusion of experiments. Experimentation and data-driven decision-making are core to Indeed’s product development culture. Indeed executes thousands of A/B Experiments a year, exposed to hundreds of millions of users.

Our team’s mission is to make it simple and safe to set up and run different types of A/B Experiments and reach conclusions in a fast and accurate manner.

We are seeking an experienced product/data scientist to help us create a next-generation experimentation platform powered by analytics and user behavior. In this role, you will help guide the vision for and build this new system from end to end.




We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",1,0,1,0,0,0,0,0,0
24,81,Allstate,Data Scietist, TX,140350.0,3.5,10000+,1931,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"The world isn’t standing still, and neither is Allstate. We’re moving quickly, looking across our businesses and brands and taking bold steps to better serve customers’ evolving needs. That’s why now is an exciting time to join our team. You’ll have opportunities to take risks, challenge the status quo and shape the future for the greater good.
You’ll do all this in an environment of excellence and the highest ethical standards – a place where values such as integrity, inclusive diversity and accountability are paramount. We empower every employee to lead, drive change and give back where they work and live. Our people are our greatest strength, and we work as one team in service of our customers and communities. Plus, Allstate is changing how, when, and where we work-to lead us boldly into our future. We're empowering our employees to create better ways of working through more intentional use of communication and collaboration practices, processes and tools.
Everything we do at Allstate is driven by a shared purpose: to protect people from life’s uncertainties so they can realize their hopes and dreams. For more than 89 years we’ve thrived by staying a step ahead of whatever’s coming next – to give customers peace of mind no matter what changes they face. We acted with conviction to advocate for seat belts, air bags and graduated driving laws. We help give survivors of domestic violence a voice through financial empowerment. We’ve been an industry leader in pricing sophistication, telematics, digital photo claims and, more recently, device and identity protection. We are the Good Hands. We don’t follow the trends. We set them. Job Family Summary:

Data, Discovery, and Decision Science (D3) is the research and analytics organization at Allstate. In D3, you’ll be surrounded by 360+ tenacious and intellectually curious colleagues in an inclusive culture that encourages you to take risks, challenge the status quo and shape the future for the greater good. We are solving some of today’s most complicated analytics problems, making the lives of our Allstate colleagues easier and more productive, and driving our mission to deliver targeted insurance solutions to our customers. We are partnering to incorporate analytics into every aspect of the enterprise. We are avid about learning new ways to get the most value from our massive data resources and leading-edge technology. We are committed to building an inclusive and diverse team where everyone has an equal opportunity to succeed. We strive to hire people from different backgrounds so that we can better serve our diverse customer needs.


Traditionally, filing an insurance claim consists of a lengthy initial call, followed by a complex experience of several phone calls, emails and paperwork to indemnify the involved parties. This is a time-consuming process and not the type of experience customers have come to expect in 2022. For this reason, Allstate has launched a 3-pronged digital initiative to transform the way that claims are handled:

1. Redesign and simplify the claims process to be customer centric.
2. Provide technology solutions for asynchronous claims handling, allowing customers to interact with Allstate in the manner they prefer, at the time they prefer.
3. Identify and build data science solutions for usage in this new digital process to expedite the handling of the claim and reduce customer effort in completing the process more rapidly.

As a D3 Claims Digital Transformation Manager, you'll be responsible for the data science arm of this transformation. To support this transformation, you'll partner with Allstate teams in solving business problems using data science. You'll work closely with technology and claims to build and execute on a data science roadmap. Claims, technology and data science will work together as one team to accomplish a common goal.

You will lead a diverse team of data scientists, data engineers and business consultants to drive rapid change. In addition to traditional machine learning, your team will also have responsibility for building computer vision and natural language processing models. In the spirit of agile, you will lead the team to quickly develop analytic prototypes, test the prototypes in market, develop the prototypes into full products, deploy the products for widespread usage, and continue iterating on these products.


This job does have supervisory duties. Education and Experience:

Education and Experience
Compensation Data
The compensation range for this position is $119,700 and $161,000 per year, based on experience and qualifications.
The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.

Good Work. Good Life. Good Hands®.

As a Fortune 100 company and industry leader, we provide a competitive salary – but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life -- including a generous paid time off policy. For a full description of Allstate’s benefits, visit allstate.jobs/benefits

Learn more about life at Allstate. Connect with us on Twitter , Facebook , Instagram and LinkedIn or watch a video .

Allstate generally does not sponsor individuals for employment-based visas for this position.

Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.

For jobs in San Francisco, please click “ here ” for information regarding the San Francisco Fair Chance Ordinance.
For jobs in Los Angeles, please click “ here ” for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.

To view the “EEO is the Law” poster click “ here ”. This poster provides information concerning the laws and procedures for filing complaints of violations of the laws with the Office of Federal Contract Compliance Programs

To view the FMLA poster, click “ here ”. This poster summarizing the major provisions of the Family and Medical Leave Act (FMLA) and telling employees how to file a complaint.

It is the Company’s policy to employ the best qualified individuals available for all jobs. Therefore, any discriminatory action taken on account of an employee’s ancestry, age, color, disability, genetic information, gender, gender identity, gender expression, sexual and reproductive health decision, marital status, medical condition, military or veteran status, national origin, race (include traits historically associated with race, including, but not limited to, hair texture and protective hairstyles), religion (including religious dress), sex, or sexual orientation that adversely affects an employee's terms or conditions of employment is prohibited. This policy applies to all aspects of the employment relationship, including, but not limited to, hiring, training, salary administration, promotion, job assignment, benefits, discipline, and separation of employment.",1,0,1,0,0,1,1,0,0
25,85,CyberCoders,Data Scietist,Remote,140000.0,4.1,350.5,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Data Scientist
We are a Series-B, Healthcare Technology company that is making fertility care more affordable, successful, and predictable for women, couples, and families around the world! We offer an AI platform that provides an accurate prediction on the probability of having a baby which then lay's out a realistic cost for treatment. Our services are offered to clinics and customers across the globe!

You will report to the co-founder/CEO and work with our Data Science team. You will perform critical functions including developing, maintaining, and executing ML Ops, data processing, and modeling pipelines. You will also be responsible for generating and investigating ideas for innovative technological solutions to increase the quality of our products and platform, primarily focused on structured health data. You will work with our interdisciplinary team comprising of lead architects, web developers, data scientists, client services teams, program managers, and QA teams to build client-facing solutions.

Candidates with a strong background and knowledge in machine learning applications and statistics to life science or healthcare problems are highly encouraged to apply.
environment.



All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

– In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",none,0,1,0,0,0,0,0,0
