,Name,Title,Location,Salary,Rating,Size,Founded,Type,Industry,Sector,Revenue,Dscrb
10,Event Dynamic,Data Scientist,"Dallas, TX",NoSalary,NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"Job Description
We're looking for an advanced mathematician who has the ability to think in entirely new ways. This person should be excited to solve complex problems by applying the combination of a deep mathematics background with intuition and the feedback of experts in the field.
The successful mathematician at Event Dynamic will utilize strong problem-solving skills, significant programming experience, and business analytics to solve real-world dynamic pricing problems at scale. This role will be highly involved in the development of the core AI-driven pricing product and will be expected to make key business decisions on complex real-world problems. This position will interface with the subject matter experts and machine learning team to communicate business impacts of technical decisions.
Job Responsibilities"
11,Leidos,Junior Data Scientist,"Arlington, VA",Visit Leidos Website,3.9,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),"Description
Job Description:
Looking for an exciting career change in the hottest job market ever?
Do you have very strong general knowledge of machine learning and artificial intelligence that can contribute to various machine learning (ML) and artificial intelligence (AI) projects in the Leidos AI/ML Accelerator as our latest Junior Data Scientist? If so, we need someone who has experience finding and aligning signals across multiple modalities (image, video, audio, lidar, etc..). Along with those skills, we need you to have demonstrated ability working independently and in technical teams to implement and customize algorithms to fusion multiple data modalities. In this data scientist position at our Leidos Arlington, VA. office, we need you to use your strong Python coder experiene with knowledge in using ML libraries like SciKit Learn, TensorFlow, Keras on both CPU and GPU compute architectures. Sound fun?"
12,Navy Federal Credit Union,Data Scientist I,Remote,"$110,100 /yr (est.)",4.0,10000+ Employees,1933,Self-employed,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"YOUR LIFE'S MISSION: POSSIBLE
You have goals, dreams, hobbies and things you’re passionate about.

What’s Important to You Is Important to Us
We’re looking for people who not only want to do meaningful, challenging work, keep their skills sharp and move ahead, but who also take time for the things that matter to them—friends, family and passions. And we're looking for team members who are passionate about our mission—making a difference in military members' and their families' lives. Together, we can make it happen.

Don’t take our word for it."
13,Technical Interviewers,Senior Data Scientist – Python/AWS SageMaker,Remote,"$130,000 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"No agencies, individual applicants only. US only. 1099 or c2c. Contract is for 6 months to two years, with the possibility of becoming a long-term hire.
We're looking for an experienced data scientist to work on an MVP for an Augmented Reality (AR) product. This is for a startup, so the candidate should be comfortable with learning new things and working in a team-based startup environment. You’ll be working directly with the company’s leadership on a flagship product.
Required:
Extensive knowledge of AWS SageMaker
Experience with Python scripting and custom ML algorithms
AWS Services (S3, Lambdas, Amplify, ECR, etc)"
14,QBE North America,"AVP, Data Scientist (Remote)",Remote,"$182,500 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"At QBE, our purpose is to give people the confidence to achieve their ambitions inside and outside of work. From development opportunities, to flexible work options and highly competitive reward and benefits packages, we understand the importance of living our values when it comes to our people. Everything we do at QBE is underpinned by our company’s cultural elements – because we know it's not just what we do that matters, it's how we do it that makes the difference.
This opportunity is accountable for managing a team of modelling and data science partners and provide technical subject matter expertise on work products, including study design, research methodology, and deployment of statistical approaches.
Primary Responsibilities
Partner with analytics manager to size analytical opportunities and create delivery plans to ensure a positive commercial return against investments made while managing relationships with offshore analytics team"
15,Envision,Data Scientist,"Saint Louis, MO",NoSalary,5.0,Unknown,NoFounded,Company - Private,NoIndustry,NoSector,Unknown / Non-Applicable,"This role will primarily be focused on supporting the development of agricultural trials that include both split planter/treatment and strip trials and working to further develop the pipeline and support the transition of research models and data into production code. The work would also be focused on further developing the analysis pipeline.

This position is expected to interact with various functions within the company, including data analytics, science, engineering, and product. Attention to detail, intellectual curiosity, and clear technical communication are key for the success of this role.

Required Skills / Experience:
BA/BS in Computer Science, Statistics, Physics, Applied Math, Agronomy, Engineering or a related quantitative discipline with at least a year of data analytics or data science experience."
16,USAA,Data Scientist I (100% Remote Available),"Von Ormy, TX",Visit USAA Website,3.7,10000+ Employees,1922,Company - Private,Insurance Carriers,Insurance,$25 to $50 million (USD),"Purpose of Job We are seeking a talented Data Scientist I for our San Antonio, TX; Plano, TX; Phoenix, AZ; Colorado Springs, CO; Tampa, FL and Charlotte, NC facility. This person may also work remotely in a 100% Remote Work Environment.

Candidate selected for this position is going to work with USAA enterprise data office data science team. They will leverage the advanced machine learning method to drive member insights and enhance member experience of the organization.

Job Requirements

About USAA
USAA knows what it means to serve. We facilitate the financial security of millions of U.S. military members and their families. This singular mission requires a dedication to innovative thinking at every level.

About USAA IT
Our most meaningful qualification isn't technical, it's human. Here, we don't just sit in front of a screen. We stand behind our 13 million members who rely on us every day.
We're proud of USAA's strong history -- and we're even more passionate about our future. That's why we have a team of supportive and collaborative hardworking technology professionals focused on doing more for our members. And why we're continuing to add innovative problem solvers to our team. With us, you'll find exciting challenges that inspire you to continue learning and growing.


Identifies and manages existing and emerging risks that stem from business activities and the job role.

Ensures risks associated with business activities are effectively identified, measured, monitored, and controlled.

Follows written risk and compliance policies and procedures for business activities.

Partners with other analysts across the organization to fully define business problems and research questions; Supports SME's on cross functional matrixed teams to solve highly complex work critical to the organization.

Integrates and extracts relevant information from large amounts of both structured and unstructured data (internal and external) to enable analytical solutions.

Conducts advanced analytics leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop analytical solutions to achieve business objectives.

Supports Subject Matter Experts (SME's) on efforts to develop scalable, efficient, automated solutions for large scale data analyses, model development, model validation and model implementation.

Works with IT to research architecture for new products, services, and features.

Develops algorithms and supporting code such that research efforts are based on the highest quality data.

Translates complex analytical and technical concepts to non-technical employees to enable understanding and drive informed business decisions.


Master's degree in Computer Science, Applied Mathematics, Quantitative Economics, Statistics, or related field.

6 additional years of related experience beyond the minimum required may be substituted in lieu of a degree.

4 years of related experience in predictive modeling, large data analysis and computer science.

Proficient knowledge of the function/discipline and demonstrated application of knowledge, skills and abilities towards work products.

Proficient level of business acumen in the areas of the business operations, industry practices and emerging trends.

Experience in data mining and statistical analysis.

Knowledge of Data Science principals and experience with data science methodologies.

Experience with any one of the following statistical and predictive modeling approaches: Gaussian Process; Markov Models; Hierarchical Clustering; K-Means; Linear Regression; Logistic Regression; Monte Carlo Simulation; Neural Networks.

When you apply for this position, you will be required to answer some initial questions. This will take approximately 5 minutes. Once you begin the questions you will not be able to finish them at a later time and you will not be able to change your responses.


Strong Python, SQL or Java skills.

Project experience with Graph Databases such as Neo4j, AWS Neptune or similar.

Worked with data platforms such as Hive in Hadoop, Spark, Snowflake.

Exposure to natural language processing (NLP), deep learning, computer vision,

Model risk experience, or hands-on experience taking models through development and model risk validation, at a financial institution guided by OCC 2011-12 and FRB SR 11-7.

Demonstrated ability to effectively communicate (written and oral) complex analytical and technical concepts to both technical and non-technical employees.

Java-based modeling capabilities (and more specifically agent-based modeling expertise, with knowledge of Anylogic a plus but not required).

The above description reflects the details considered necessary to describe the principal functions of the job and should not be construed as a detailed description of all the work requirements that may be performed in the job.


USAA has an effective method for assessing market data and establishing ranges to ensure we remain competitive. You are paid within the salary range based on your experience and market position. The salary range for this skill is: $88,200 - $158,900 *
Employees may be eligible for pay incentives based on overall corporate and individual performance or at the discretion of the USAA Board of Directors.

Geographic pay differential is additional pay provided to eligible employees working in locations where market pay levels are above the national average.

will be addressed on an individual-basis for applicable roles that are consistently scheduled for non-core hours.


At USAA our employees enjoy best-in-class benefits to support their physical, financial, and emotional wellness. These benefits include comprehensive medical, dental and vision plans, 401(k), pension, life insurance, parental benefits, adoption assistance, paid time off program with paid holidays plus 16 paid volunteer hours, and various wellness programs. Additionally, our career path planning and continuing education assists employees with their professional goals.

Please click on the link below for more details.
USAA Total Rewards

Relocation assistance is Not Available for this position."
17,Altria,Data Scientist,"Richmond, VA",NoSalary,3.9,5001 to 10000 Employees,1919,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),"Overview:
Together We Change. Together we Evolve.

Are you passionate about transforming big data into a business strategy? Do you have experience in Data Analytics? Then join Altria as a Data Scientist, where your expertise will directly shape our marketing and sales vision. We’re a Fortune 200 company and a leading player in our industry and passionate about creating positive change. Working within a growing Advanced Analytics team, you’ll improve the way we collect, analyze, and use data as we help our adult tobacco consumers to make better choices.

Altria’s digital evolution

We’re undergoing an exciting transformation at Altria. Led by our new Chief Digital & Technology officer, we’re streamlining processes, improving customer experience, and using cutting-edge intelligence to forecast and respond to trends. Our digital strategy will improve experiences from product development to market, and as a, you’ll be at the heart of this business wide change.






Company Overview: Altria has a leading portfolio of tobacco products for U.S. tobacco consumers age 21+. Altria’s Vision through 2030 is to responsibly lead the transition of adult smokers to a non-combustible future. Altria is Moving Beyond Smoking™, leading the way in moving adult smokers away from cigarettes by taking action to transition millions to potentially less harmful choices - believing it is a substantial opportunity for adult tobacco consumers, Altria’s businesses and society. Altria’s wholly owned subsidiaries include the most profitable tobacco companies in their categories: Philip Morris USA Inc. (PM USA), U.S. Smokeless Tobacco Company LLC (USSTC), and John Middleton Co. (Middleton). Altria’s smoke-free portfolio includes Helix Innovations LLC (Helix), the maker of on! oral nicotine pouches, exclusive U.S. commercialization rights to the IQOS Tobacco Heating System®* and Marlboro HeatSticks®*, and an equity investment in JUUL Labs, Inc. (JUUL). Altria also owns equity investments in Anheuser-Busch InBev SA/NV (ABI), the world’s largest brewer, and Cronos Group Inc. (Cronos), a leading Canadian cannabinoid company. At Altria, we celebrate the power of diverse teams working together to shape our future. We are inspired to bring our best because our unique strengths are valued. We believe our personal success and progress should be guided by Our Cultural Aspiration, a new articulation of what we value and who we aspire to be, collectively. Our Cultural Aspiration respects and complements individual identity, embracing each other’s unique strengths, welcoming newcomers and developing the best, most inclusive and diverse teams. Join us as we work together to shape a better future for adult tobacco consumers, our employees, and our shareholders. Each Altria company is an equal opportunity employer. Learn more about Altria at www.altria.com and follow us on Twitter, Facebook and LinkedIn. *IQOS Devices and HeatSticks® are currently unavailable for sale in the United States."
18,The Mom Project,Data Scientist (100% Remote),Remote,$54.22 /hr (est.),4.4,51 to 200 Employees,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,"Our Customer’s mission is to give people the power to build community and bring the world closer together. Through their family of apps and services, they are building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together.
We are seeking a Data Scientist on a contract basis to help support our Customer’s business needs. This role entails using analytical techniques to drive impact with our cross-functional partners.

What You’ll Do:
Provide analytical support to our cross-functional partners including pull data utilizing SQL and delivering those results via presentations, reporting, or dashboard development
Support product development with thought leadership on how data should be collected, stored, and utilized
Manage requests and priorities independently
Provide documentation of queries/inbound requests for future use
Create new or improve existing dashboards and analyses to support key stakeholders
Communicate results with internal stakeholders
Understand existing data infrastructure and determine if queries are possible to run/share
Partner with cross-functional teams to identify new opportunities requiring the use of modern analytical and modeling techniques


4+ years of experience in analytics, data science, or similar field
Advanced proficiency in SQL
Experience problem solving and providing business insights and recommendations from data
Ability to manage multiple concurrent projects and drive initiatives in a cross-functional environment
Ability to communicate complex data issues to audiences of different levels of technical expertise
Experience building out large data sets and pipelines
Python or similar scripting experience


Bachelor’s degree in a technical focus area
MBA or graduate degree in a quantitative field


M-F, 40 hours/week. This role will be remote while COVID restrictions are in place. The expectation is to be onsite at our Customer’s Menlo Park ,CA office once it is determined safe to do so.
All applicants applying for U.S. job openings must be legally authorized to work in the United States and are required to have US residency at the time of application.
Perks are available through our 3rd Party Employer of Record (Available upon completion of waiting period for eligible engagements)
Medical, Dental, Vision, 401k, FSA, Commuter Benefit Program
Up to 15 days per 12 months on assignment
Up to $4,000 for the birth or adoption of a child while on assignment (conditions apply)
In order to create a safe, productive work environment, our client is requiring all contractors to be fully vaccinated according to the CDC guidelines (please inform your employer if you need a medical or religious exemption). Prior to onboarding, contractors will be required to attest that they are fully vaccinated. The expected Return to Office date is July 2022"
19,Weatherford,Data Scientist,Texas,Visit Weatherford Website,3.4,10000+ Employees,1987,Unknown,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$10+ billion (USD),"Weatherford is the leading wellbore and production solutions company. Operating in more than 75 countries, the Company answers the challenges of the energy industry with its global talent network of approximately 17,000 team members and 380 operating locations, which include service, research and development, training, and manufacturing facilities. Visit weatherford.com for more information or connect on LinkedIn, Facebook, Twitter, Instagram, or YouTube.

We’re looking to the future with a clear vision and a strong mission.

Our goal is to address the headwinds facing the industry, revolutionize the oilfield with digital technology, integrated solutions, and world-class talent.

We accept every challenge for the benefit of our Company, our industry, and the world. Our technology leadership delivers solutions that rise to every occasion, supply the best outcomes in each operation, and give power to all customers."
20,Engtal,Data Scientist,Remote,"$155,000 /yr (est.)",5.0,1 to 50 Employees,2017,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),"The company:
My client is the premier Industrial AI company, providing a predictive analytics SaaS platform that empowers major industry leaders to optimize performance, reduce asset failures, and enhance safety. This company is a combination of machine learning, analytics, data visualization, and software development which allows delivery of actionable insights that make industry more reliable, productive, safe and secure.
What Data Scientists Do Here:
Data science is at the core of what they do. They collaborate with customers, engineering, product, and other teams to contribute insights and data science best practices to all parts of the business."
21,National Security Agency,Data Scientist,"Fort Meade, MD","$101,589 /yr (est.)",3.5,Unknown,NoFounded,Government,Federal Agencies,Government,Unknown / Non-Applicable,"NSA Overview: The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a strong offense and a steadfast defense. The offense collects, processes, and disseminates intelligence information derived from foreign signals for intelligence and counterintelligence purposes. The defense prevents adversaries from gaining access to sensitive classified national security information. At NSA, Data Science is a fundamental discipline and is present in nearly every aspect of the mission. NSA is the nation's leader in providing foreign signals intelligence while also protecting U.S. government information systems, forging the frontier of communications, and data analysis. We serve the American people by applying technical skills to meaningful work, keeping our friends and families safe for generations to come. You will make a lasting impact serving your country as a Data Scientist at the National Security Agency, using your curiosity and technical expertise to analyze large data sets to inform decision-making against foreign threats. Description of Position: Data science at NSA is a multi-disciplinary field that uses elements of mathematics, statistics, computer science, and application-specific knowledge to gather, make, and communicate principled conclusions from data. Data science is present in every aspect of the mission. NSA Data Scientists tackle challenging real-world problems leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. We are looking for critical thinkers, problem solvers, and motivated individuals who are enthusiastic about data and believe that answers to hard questions lie in the yet-to-be-told story of diverse, complicated data sets. You will employ your mathematical science, computer science, and quantitative analysis skills to develop solutions to complex data problems and take full advantage of NSA's capabilities to tackle the highest priority foreign intelligence and cybersecurity challenges. Direct hire data scientists are hired into positions directly supporting a technical mission office. You will have the opportunity to collaborate with NSA's experts in the field of data science and other computational disciplines while tackling NSA's highest priority mission challenges. You will have opportunities to attend technical conferences with experts internally and from industry and academia as well as discuss and share NSA's challenges and successes at technical roundtables. As a Data Scientist at NSA, your responsibilities may include: - Exploratory data analysis and exploratory model-fitting to reveal data features of interest - Machine-learned predictive modeling - Construct usable data sets from multiple sources to meet customer needs - Identifying and analyzing anomalous data (including metadata) - Developing conceptual design and models to address mission requirements - Developing qualitative and quantitative methods for characterizing datasets in various states. - Performing analytic modeling, scripting, and/or programming - Working collaboratively and iteratively throughout the data-science lifecycle - Designing and developing analytics and techniques for analysis - Analyzing data using mathematical and statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations"
22,Liberty Mutual Insurance,Data Scientist/ Data Science Analyst I,Remote,"$125,500 /yr (est.)",3.9,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness, inclusion, trust and respect. Here, you'll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession.
Liberty Mutual has proudly been recognized as a “Great Place to Work” by Great Place to Work® US for the past several years. We were also selected as one of the “100 Best Places to Work in IT” on IDG's Insider Pro and Computerworld's 2020 list. For many years running, we have been named by Forbes as one of America's Best Employers for Women and one of America's Best Employers for New Graduates—as well as one of America's Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion
We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits

Bachelor's Degree
17"
23,Indeed,Senior Data Scientist - International,Remote,"$151,000 /yr (est.)",4.4,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),"Your Job
As a Senior Data Scientist embedded in the International Team team, you will be tasked with building machine learning solutions to help improve the efficiency of software delivery at Indeed. You will work on interesting and important challenges that range from designing algorithms for quicker regression testing to building tools that can automate root cause analysis. Through your work, Indeed software developers will be able to quickly get their solutions into production, find and fix bugs, and improve the quality of their code.

The International Team works to make all of Indeed’s products effective at getting people hired, in every market and language. This involves translating the needs of specific markets into configuration patterns that let us scale those variations worldwide. We consider both sides of the experience, meaning that we internationalize employer-facing products (such as posting jobs and managing candidates) and jobseeker-facing products (such as mobile job search, updating profiles, and messaging-app based experiences). Most importantly, the team is expected to deliver results, and be able to demonstrate the impact our changes have on our business.






We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time."
