,Name,Title,Location,Salary,Rating,Size,Founded,Type,Industry,Sector,Revenue,Dscrb
10,Innovative Precision Health,Senior Data Scientist,Remote,"$150,000 /yr (est.)",3.0,1 to 50 Employees,NoFounded,Company - Private,NoIndustry,NoSector,Unknown / Non-Applicable,"Job Responsibilities:
Project Delivery (70 - 85%)
Consult clients to define and refine business objectives towards data-driven decision problems
Research internal & external tools & methodologies to develop AIML solution concepts for client problem briefs..
Work with client & IPH team to rapidly prototype innovative AIML solutions including: data & requirements gathering, technological scoping and architecture, code implementation, insights delivery and recommendations.
Work with cross-functional client & IPH team to scale AIML solutions to production systems."
11,Cardone Ventures,Sr. Data Scientist,"Scottsdale, AZ","$115,000 /yr (est.)",4.7,51 to 200 Employees,2019,Unknown,Consulting,Business Services,$25 to $50 million (USD),"Position Summary
We're looking for a data engineer who is versed in cloud-based distributed data processing technologies and is comfortable reasoning about batch-processing and more real-time data processing use cases. This engineer should understand how to interact with both unstructured and structured data, creating systems to ultimately shape data in a timely manner and into a format that answer's the business's and customer's most important questions. More specifically, this work will involve helping our Finance team automate the monthly financial processing, budgeting and forecasting, and reporting for our clients. Candidates ideally have had a couple of years of experience with the Apache Spark ecosystem and a strong SQL understanding.
Please note this is not a remote opportunity*"
12,DHL eCommerce,Product Management Data Scientist,Remote,Visit DHL eCommerce Website,4.0,10000+ Employees,1969,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$10+ billion (USD),"The Data Scientist plays a key role in understanding & evaluating our data, identifying trends/patterns and leveraging this knowledge to plan for future including developing new product features, forecasting flow of shipments in network and pro-actively managing the performance quality of our network.
Essential Duties & Responsibilities:
Work cross functionally with Subject Matter Experts (SMEs) to define analytic requirements and formulating the analytics that meet the requirements
Develop data models which help optimize and improve work of e-commerce functions
Understand the flow of data in our domestic product portfolio and define new solutions to capture the right data to help measure performance (and pro-actively identify future issues/concerns of meeting delivery promise)"
13,"O'Neil Global Advisors, Inc.",Data Scientist I - 637,"Austin, TX",NoSalary,NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"Onsite/ Hybrid/ Remote
This job is remote!
About Us
O'Neil Global Advisors (OGA) is an investment advisor that builds algorithmic strategies based on proprietary quantitative factor research pioneered by investing legend William J. O'Neil. Bill's methodology has achieved consistent success over more than five decades, and OGA's strategies provide our clients with an exclusive way to capture the success of his powerful and disciplined approached to investing.We develop strategies that are inspired by Bill's disciplined quantitative approach and incorporate his desire for constant improvement through ongoing backtesting."
14,LiveOps,Data Scientist,Remote,"$129,770 /yr (est.)",3.8,201 to 500 Employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"The Purpose of Your Role
Play a critical role in the design, development, support, and continuous improvement of the BI environment supporting internal and external stakeholders
Analyze complex data from multiple sources, determining configuration and connection methods for ingestion
Design dashboards, reports and cards for scalability and internal/external consumption using the Domo platform
Develop BI solutions according to user requirements, best practices, and industry standards
Participate in a full BI development lifecycle including planning, architecture design, development, testing, migration, and production support"
15,"Vanu, Inc.",Data Scientist,"Lexington, MA","$125,000 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"A unique position has arisen for a skilled, enthusiastic, and results-oriented data scientist in the budding global mapping group of a growing telecommunications company located in Lexington, Massachusetts. Vanu Inc is a global leader in providing wireless coverage to the 1.2 billion people worldwide currently unable to connect, with a particular focus on markets in Africa and South East Asia.
As a cartographically oriented data scientist you will help us to develop the technology and insight we need to address growing international interest in and application of our unique industry disrupting network planning and mapping capabilities. You will be an integral member of our analytics department focused both on the formulation of novel applications and the streamlining of existing tech.
The necessary credentials:"
16,EDWARD JONES,Data Scientist II,"Saint Louis, MO","$142,910 /yr (est.)",4.0,10000+ Employees,1922,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),"At Edward Jones, we help clients achieve their serious, long-term financial goals by understanding their needs and implementing tailored solutions. To ensure a personal client experience, we have located our 14,000+ branch offices where our more than 7 million clients live and work.

A typical branch office has one financial advisor who meets with clients face-to-face and one branch office administrator who enhances the team's ability to build deep relationships with clients. Headquarters associates in St. Louis and Tempe provide support and expertise to help U.S. and Canada branch teams deliver an ideal client experience. Edward Jones currently has more branch offices than any other financial services firm, and we continue to grow to meet the needs of long-term individual investors.
Firm Analytics
Senior Data Scientist
The Senior Data Scientist is responsible for the design and development of complex mathematical methods, machine learning and statistical models in support of data driven strategies. The role requires the ability to leverage data from multiple sources to develop innovative solutions to business problems.

An ideal candidate must be able to work closely with business partners to identify and develop tailored analytic solutions. A senior data scientist will be responsible for leading projects from design through implementation and final delivery to internal business partners.


Salary: $105753 - $180067
Category: Headquarters"
17,Indeed,Data Scientist,Remote,"$125,000 /yr (est.)",4.4,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),"Your Job
As a Data Scientist at Indeed your role is to follow the data. Analyze, visualize, and model job search related data. You will build and implement machine learning models to make timely decisions. You will have access to unparalleled resources within Indeed to grow and develop both personally and professionally.

We are looking for a mixture between a statistician, scientist, machine learning expert and engineer: someone who has passion for building and improving Internet-scale products informed by data. The ideal candidate understands human behavior and knows what to look for in the data.

Responsibilities


We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time."
18,Acquire Interactive,Junior Data Scientist,"Las Vegas, NV","$70,000 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"Junior Data Scientist needed!
We’re looking for a passionate data scientist with strong communication skills and the desire to translate their ideas into practical solutions! If you are obsessed with data and using it to improve business processes and identify new opportunities then this role is for you.
How would you like to work alongside top level marketing, operational, and development teams, combining cutting edge technology with your ideas to make great things happen? This is what we do every day, and we need you!
Our analytics team is small, fun and outgoing, and we get to work on some of the most interesting and challenging problems in the internet and direct marketing industry. Our team collaborates and shares its successes, and knowledge with one-another. Come and help us in an industry-leading company with plenty of potential for advancement."
19,Clock Foundation,Data Scientist,"Torrance, CA","$100,442 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"Data Scientist
The Clock Foundation seeks a highly motivated individual to join our dynamic team developing epigenetic aging clocks applying them to our mission of speeding the availability of treatments that prolong health and life expectancy.
Essential
A PhD (or equivalent experience) in a relevant scientific subject including but not limited to bioinformatics, biostatistics, or computational biology, with research experience in academia or industry
Proficiency with R for statistical programming
Proven ability to deliver high quality novel research in bioinformatics, biostatistics, or computational biology, for example through journal publications"
20,SEngine Precision Medicine,Bioinformatics Data Scientist / Project Manager (Cancer Focused),Remote,NoSalary,NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"Title: Bioinformatics Data Scientist / Project Manager
SEngine Precision Medicine is a Seattle based biotech company striving to fulfill the promise of personalized medicine by combining cancer diagnostics and drug discovery. Our CLIA certified high-throughput screening platform for patient derived organoids is not only guiding treatment decisions for individual patients, but also offers a unique opportunity to accelerate the discovery of novel drugs. Our environment is rigorous, fast-paced and collaborative, bringing together passionate individuals who are making an impact. We inspire creativity and discovery by embracing an open culture that fosters innovation, teamwork and excellence.
JOB SUMMARY
As the Bioinformatics Data Scientist reporting to SEngine’s Director of Bioinformatics, you will support our Industry Partnerships team to integrate cancer genomics data (WES, RNAseq and potentially other “omics” approaches) with functional drug responses obtained from patient-derived organoids. The objective will be to derive biomarkers of drug response for novel experimental drugs and or/broaden the application of currently approved drugs. The candidate will also act as Project Manager in communicating and ensuring timely execution of SEngine pharma partnerships and collaborations. The ideal candidate will have a strong background in bioinformatics, cancer genomics, as well as general experience with the analysis of biological data."
21,Confidential,Senior Data Scientist,Remote,"$125,000 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"We’re looking for a Senior Data Scientist to join our growing Engineering team. Use the power of healthcare data to find insights that will demonstrate the value we are delivering to our customers, help improve patient outcomes, and expand the scope of our mission. You’ll need strong data chops, an agile mindset, and a love for adventure as you work as a key individual contributor on our growing Data Team.
What You’ll Do:
Lead efforts to evaluate impact of our programs and services and demonstrate impact to customers and through Marketing efforts.
Support projects with data insights that improve our organizational decision-making, business and program performance, and patient and pharmacists experience.
Build and maintain dashboards that enable a culture of self-service data access and literacy, manage ad hoc reporting requests, and collaborate with organizational stakeholders to execute data analytics projects and share resulting business insights."
22,Emerald Resource Group,Data Scientist - Remote,Remote,"$145,000 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"Position: Data Scientist - REMOTE
Machine Learning / R/ Python / Jupyter /SQL
Remote role that is Direct Hire-Salaried
Prefer Eastern Standard Time Zone
(At this time, our client cannot accommodate H1B visas or OPT).
************************************************************************************
Data Scientist Requirements:
-Programming experience in Python , R, and SQL are a must have ."
23,Hyphen,Senior Data Scientist [WFH],Remote,"$125,000 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"The Hyphen team is looking for a Senior Data Scientist to join our team.
Our Senior Data Scientist will focus on existing data compilation and analysis, across disparate data sources, while applying scientifically-valid statistical analysis. As the Data Scientist on the team, you’ll utilize your statistical background and modeling experience, as well as Python/R programming skills, to support the business’s strategic objectives.
The ideal candidate is a motivated self-starter who loves to learn, gets excited about statistics and model development, and is able to leverage their programming experience to build the models they want. If this describes you, please keep reading!
POSITION OVERVIEW:
Reporting to the Chief Revenue Officer, your core responsibilities as our Senior Data Scientist will include:"
24,Allied Onesource,Data Scientist,"Overland Park, KS","$105,000 /yr (est.)",4.0,Unknown,NoFounded,Self-employed,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Data Scientist
We are looking for a Data Scientist to conduct big data analytics and build solutions for difficult and large data and business problems. This role will contribute towards implementing innovative solutions for the organization and our clients.
Are you passionate about solving complex business problem using data science and machine learning?
Does the prospect of solving high impact business problems excite you?
Are you looking for an company that offers great benefits and equity stake?
Are you looking for a remote role?
If so, we what to talk to you!
We are looking for a Data Scientist to conduct big data analytics and build solutions for difficult and large data and business problems. This role will contribute towards implementing innovative solutions for the organization and our clients.

$90,000 - $120,000"
25,"M-Partners, Inc.",AI/ML and Data Scientist,Remote,NoSalary,NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"At M-Partners, we leverage new concepts in automation, analytics, artificial intelligence, and systems integrations to pioneer solutions in the defense & intelligence, financial, media, and advertising spaces. If you love all things data, come join us!
What you'll do:
As our AI and Data Scientist, you will help us build repeatable and scalable data science processes. You will formulate, develop, and evaluate AI/ML techniques to make predictions and contribute code to the software suite during the software engineering lifecycle. Alongside analysts and engineers, you will design and implement production systems that provide language processing capabilities. You will also evaluate state-of-the-art methods in NLP/ML, conduct experiments for novel research, and integrate useful findings into new and current offerings."
26,Tiro L.L.C.,Machine Learning Engineer / Data Scientist,Remote,"$125,000 /yr (est.)",NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"Data Scientist / ML Ops Engineer
The position
We are looking for a talented Data Scientist / ML Ops Engineer to join our client’s fast growing team in either in office or Remote. We are looking for a high caliber individual with a passion for building scalable machine learning (ML) platforms for deployment of automated ML based software solutions. In this position, you will be working with a very highly energetic team of engineers, data scientists, and developers, to develop and deploy ML solutions to solve engineering problems. The solutions will focus on improving operational efficiency and predictive maintenance using engineering and data science approaches.
Responsibilities"
27,BlueChew,Data Scientist/ Engineer,"Chicago, IL",NoSalary,NoRating,NoSize,NoFounded,NoType,NoIndustry,NoSector,NoRevenue,"About Us:
Dermacare LLC (DBA BlueChew) is on a mission to build a highly scalable and intelligent telemedicine services platform. Having built an array of highly functional software products in house, our tech team provides a fertile learning ground for software and data engineers.
Join our team to help design and build the data infrastructure needed to support modeling and analysis of marketing, retention, and more.
Job Description:
You will be responsible for designing and building pipelines to turn our diverse collection of sources (mostly structured and flat databases, Google Analytics, and logs) into a coherent framework for building models and doing marketing / business / supply chain analysis. In the long run, given your interest, you can gradually shift some time into building models to analyze and make predictions based on these datasets."
28,Indeed,Senior Data Scientist - Ads Optimization,Remote,"$188,000 /yr (est.)",4.4,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),"Your Job
This role sits within the SMB Ads Optimization Team. At Indeed, SMB Ads are sponsored jobs created by employers that are looking for the right candidates in Indeed’s marketplace. We decide which sponsored jobs will be presented to job seekers in different channels by considering the employer's willingness to pay. In Indeed’s search, one of Indeed’s main channels, we do this by solving an auction at search time. However, in general, we combine multiple bidding and pricing strategies with optimization algorithms to define the right pricing strategy at the right moment.

As a Data Scientist in the SMB Ads Optimization team, your role is to design and build different mechanisms to find the right value to charge our customers. We are looking for a mixture of statistician, scientist, machine learning expert, and engineer: someone who has passion for building and improving Internet-scale products informed by data. You will be directly influencing Indeed's ads platform's future and responsible for improving our marketplace experimentation strategy. Last but not least, you will spend time understanding and making sense of highly non-linear systems while figuring out how to optimize them.




We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time."
29,Penske Truck Leasing and Logistics,Senior Data Scientist - REMOTE OPPORTUNITY,"Beachwood, OH",Visit Penske Truck Leasing and Logistics Website,3.7,10000+ Employees,1969,Company - Private,Transportation Management,Transportation & Logistics,$5 to $10 billion (USD),"Senior Data Scientist - REMOTE OPPORTUNITY (Job Number: 2117948 )
This position has the ability to work remotely
Position Summary
As a Senior Data Scientist, you develop the next generation of Supply Chain & Logistics Analytics for Penske. You will be key in establishing Penske’s advanced and predictive analytics capabilities, primarily at an enterprise level. As a Senior Data Scientist you will also work on 3 – 5 projects concurrently. The projects at this level are large and complex, often with organization-wide impact. Provides analysis and develops approach and scope on each project. Such efforts require cross-functional involvement with customers, vendors, and suppliers.
Major Responsibilities:
3000 Auburn Dr 3000 Auburn Dr"
30,General Motors,Entry Level Information Technology,"Roswell, GA",NoSalary,4.0,10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),"We are looking for individuals who are innovative and creative problem solvers who get things done!
GM IT is a leader in cutting edge technologies such as Mobility, Telematics, Mission-Critical Business Systems, Supercomputing, Vehicle Engineering, Real-time Computing and Cloud Computing. We offer exciting positions for passionate professionals looking to get in on the ground-floor of a growing “Fortune 5” firm that is re-inventing IT with a laser focus on Innovation, Speed, and Business Value.
We are seeking Information Technology students graduating between January 2020 – September 2022, who:
Have a steadfast drive for excellence"
31,General Motors,Energy / V2X - Applied Data Scientist - V2G,"Austin, TX",NoSalary,4.0,10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),"Job Description

TheEnergy / V2X Applied Data Scientistwill be responsible for the creation and development of analytic \ algorithm solutions for our the next generation digital\data platform that will host and enable the suite of V2X, VGI and related integrated asset capabilities that will allow GM to improve the value and resilience benefits of its vehicles.
Work closely with other GM leaders to ensure integration of the platform with functions associated with bidirectional charging, V2H, V2L, V2G and other advanced V2X functions
Understand, guide, and encourage a vision for a data ecosystem that will be the backbone of the V2X solutions

Our data scientists \ analysts are creative problem solvers involved in close interaction with the entire CORE scrum team, development team leaders, business team members and other members of the extended IT development team. Our role will demand a high level of design and data engineering \ analytics to implement and deliver new insights and machine learning models. There will be ample opportunities to expand on your technical experience, with extensive exposure to the GM business teams and processes. Applied Data Scientists provide leadership and technical expertise to enable multi-layered solutions that comprehend and specify business, application, data and infrastructure designs. The ideal candidate for this role will possess a passion for technology and a desire to improve our application portfolio while maintaining high quality and flexibility.

Applicants should have strong core data \ code skills and some additional technical skills and proven track record with:







Experience or knowledge with some or all of the following tools:



Our vision is a world with Zero Crashes, Zero Emissions and Zero Congestion and we embrace the responsibility to lead the change that will make our world better, safer and more equitable for all.



We aspire to be the most inclusive company in the world. We believe we all must make a choice every day - individually and collectively - to drive meaningful change through our words, our deeds and our culture. Our Work Appropriately philosophy supports our foundation of inclusion and provides employees the flexibility to work where they can have the greatest impact on achieving our goals, dependent on role needs. Every day, we want every employee, no matter their background, ethnicity, preferences, or location, to feel they belong to one General Motors team.



The goal of the General Motors total rewards program is to support the health and well-being of you and your family. Our comprehensive compensation plan incudes, the following benefits, in addition to many others:



General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities.GM is proud to be an equal opportunity employer.

We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities.



The policy of General Motors is to extend opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity/expression or veteran status. Additionally, General Motors is committed to being an Equal Employment Opportunity (EEO) Employer and offers opportunities to all job seekers including individuals with disabilities. If you need a reasonable accommodation to assist with your job search or application for employment, email us atCareers.Accommodations@GM.com. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying."
32,Zynex Medical,Data Scientist - Algorithm Engineer,"Boulder, CO","$120,000 /yr (est.)",3.8,201 to 500 Employees,1996,Company - Public,Health Care Products Manufacturing,Manufacturing,Unknown / Non-Applicable,"Data Scientist-Algorithm Engineer
The Data Scientist/Algorithms Engineer is responsible for working with project teams in defining the need for mathematical/statistical/algorithm development in any given project or process; generating mathematical analyses and algorithms; performing statistical analyses; performing experiments; and documenting research and development efforts.
Join us in developing the next generation of non-invasive patient monitoring devices that will change standards of care, improve patient outcomes, and save lives. If you are looking to join an amazing company that is passionate about making a difference in patient’s lives, then Zynex is the place for you.
Location: Hybrid position, combination of remote, Boulder, CO and/or Englewood, CO"
33,Lancer Insurance Company,Predictive Modeler,Remote,"$100,000 /yr (est.)",3.3,201 to 500 Employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Predictive Modeler
Lancer Insurance Company, Inc. – Long Beach, NY
Lancer Insurance Company is looking for a talented and motivated predictive modeler to work with a data architect and/or data scientist to develop predictive models to provide modeling solutions that meet organizational needs and to perform in-depth analysis to guide and support strategic business decisions. The right candidate will be a successful communicator and self-starter with strong analytical skills who exhibits creativity, hustle, integrity, and teamwork.
Duties and Responsibilities:
· Identify areas where data can be used to improve business activities, defining business users’ requirements. Make recommendations for the usage of data in business and communicate the benefits and return on investment for application and product owners."
34,National Security Agency,Data Scientist,"Fort Meade, MD","$101,589 /yr (est.)",3.5,Unknown,NoFounded,Government,Federal Agencies,Government,Unknown / Non-Applicable,"NSA Overview: The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a strong offense and a steadfast defense. The offense collects, processes, and disseminates intelligence information derived from foreign signals for intelligence and counterintelligence purposes. The defense prevents adversaries from gaining access to sensitive classified national security information. At NSA, Data Science is a fundamental discipline and is present in nearly every aspect of the mission. NSA is the nation's leader in providing foreign signals intelligence while also protecting U.S. government information systems, forging the frontier of communications, and data analysis. We serve the American people by applying technical skills to meaningful work, keeping our friends and families safe for generations to come. You will make a lasting impact serving your country as a Data Scientist at the National Security Agency, using your curiosity and technical expertise to analyze large data sets to inform decision-making against foreign threats. Description of Position: Data science at NSA is a multi-disciplinary field that uses elements of mathematics, statistics, computer science, and application-specific knowledge to gather, make, and communicate principled conclusions from data. Data science is present in every aspect of the mission. NSA Data Scientists tackle challenging real-world problems leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies. We are looking for critical thinkers, problem solvers, and motivated individuals who are enthusiastic about data and believe that answers to hard questions lie in the yet-to-be-told story of diverse, complicated data sets. You will employ your mathematical science, computer science, and quantitative analysis skills to develop solutions to complex data problems and take full advantage of NSA's capabilities to tackle the highest priority foreign intelligence and cybersecurity challenges. Direct hire data scientists are hired into positions directly supporting a technical mission office. You will have the opportunity to collaborate with NSA's experts in the field of data science and other computational disciplines while tackling NSA's highest priority mission challenges. You will have opportunities to attend technical conferences with experts internally and from industry and academia as well as discuss and share NSA's challenges and successes at technical roundtables. As a Data Scientist at NSA, your responsibilities may include: - Exploratory data analysis and exploratory model-fitting to reveal data features of interest - Machine-learned predictive modeling - Construct usable data sets from multiple sources to meet customer needs - Identifying and analyzing anomalous data (including metadata) - Developing conceptual design and models to address mission requirements - Developing qualitative and quantitative methods for characterizing datasets in various states. - Performing analytic modeling, scripting, and/or programming - Working collaboratively and iteratively throughout the data-science lifecycle - Designing and developing analytics and techniques for analysis - Analyzing data using mathematical and statistical methods - Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership - Creating interpretable visualizations"
